Image Master File,New file,Group
https://cdn.amplifi.pattern.com/3cb750e2-52b0-4580-ba6d-694bc9e3ca86,U3MR039504_BLACK_Swatch_Forward-facing_SUMMER 2 MEN 2023.tif,forskye
https://cdn.amplifi.pattern.com/0ed9ecdb-dd98-4d40-b546-af23418e6435,U3MR039504_BLACK_Lay Down_Left-facing_SUMMER 2 MEN 2023.tif,forskye
https://cdn.amplifi.pattern.com/d1160a80-6dc2-4158-afc9-a5f700bd62c2,U3MR039504_BLACK_Lay Down_Right-facing_SUMMER 2 MEN 2023.tif,forskye
https://cdn.amplifi.pattern.com/b5280360-61f7-4864-b60a-5abdc6cd6b9f,U3MR039504_BLACK_Lay Down_Rear-facing_SUMMER 2 MEN 2023.tif,forskye
https://cdn.amplifi.pattern.com/d174581a-a068-4e5e-8323-6f1822c982e0,F3WP041215_PRINT 2_Lay Down_Forward-facing_Pre-Fall Plus 2023.tif,forskye
https://cdn.amplifi.pattern.com/51fefb7c-dfce-4a61-8c35-d1855afdf97c,F3WP041215_PRINT 1_Lay Down_Forward-facing_Pre-Fall Plus 2023.tif,forskye
https://cdn.amplifi.pattern.com/9ee6ba09-f6f7-4d4c-af2e-001852c2ce64,F3WP041215_PRINT 3_Swatch_Forward-facing_Pre-Fall Plus 2023.tif,forskye
https://cdn.amplifi.pattern.com/09487bc8-304b-47dd-bced-229b0a0d5764,Y0WR019061_JF BLACK_Lay Down_Forward-facing_YEAR ROUND WOMENS.tif,forskye
https://cdn.amplifi.pattern.com/d42fefaa-1cdd-461f-8f69-0cdb23e42339,Y0WR019061_JF BLACK_Swatch_Forward-facing_YEAR ROUND WOMENS.tif,forskye
https://cdn.amplifi.pattern.com/ae436411-8a50-4eeb-a0ab-b8e9e63d1a57,Y0WR019061_JF BLACK_On Figure_Left-facing_YEAR ROUND WOMENS.tif,forskye
https://cdn.amplifi.pattern.com/5fae2de3-b631-4d28-8a73-c25bf4b8117e,U3BT037501_RED_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/f14d334d-ceef-4457-ac8c-4094ffdfbcb3,U3BK037499_RED_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/10702b9a-ef22-475b-abc0-7463dc44b762,U3GK037323_DK. NAVY_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/25cb11db-cf70-4f4d-90cc-21f870faffaf,U3BB037559_WHITE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/965f694f-94f0-495d-9948-3dd0762a64df,U3BT037502_GOLD_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/613a563d-9ad6-4f4e-99c8-c84e0e0e4911,U3GK037338_ORANGE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/19e11336-a911-42c3-b314-7b638f470a0a,U3BT037501_CREAM_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/174722ea-740e-42f1-8550-d4ba8ddb4a2c,U3GT037297_LT. GOLD_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/0c1c6bbe-1685-4eb7-b92c-a83e39f786c6,U3BT037497_RED_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/0240c044-899a-4a5e-8735-107e3acbe334,U3GK037037_YELLOW_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/0430b360-ebfe-4701-ae1e-428d933c00c0,U3GK037234_PINK_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/67a4601c-8ee0-44d6-8a2b-97f45b663f7a,U3BB037553_WHITE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/3d96b152-9ba2-4557-9b5b-30b373563907,U3BT037501_CREAM_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/27eedf13-e30d-4f4a-9bcb-c1f261facde2,U3GT037238_FUCHSIA_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/96c112d4-8c66-4072-a41e-86a79073f110,U3GK037336_PINK_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
